time,value
2013-04-02 09:50:00+00:00,1.09
2013-04-02 09:55:00+00:00,1.039
2013-04-02 10:00:00+00:00,1.064
2013-04-02 10:05:00+00:00,1.031
2013-04-02 10:10:00+00:00,1.013
2013-04-02 10:15:00+00:00,1.102
2013-04-02 10:20:00+00:00,1.063
2013-04-02 10:25:00+00:00,1.05
2013-04-02 10:30:00+00:00,1.15
2013-04-02 10:35:00+00:00,1.087
2013-04-02 10:40:00+00:00,1.072
2013-04-02 10:45:00+00:00,1.02
2013-04-02 10:50:00+00:00,1.084
2013-04-02 10:55:00+00:00,0.959
2013-04-02 11:00:00+00:00,1.06
2013-04-02 11:05:00+00:00,1.084
2013-04-02 11:10:00+00:00,1.054
2013-04-02 11:15:00+00:00,1.074
2013-04-02 11:20:00+00:00,1.078
2013-04-02 11:25:00+00:00,1.078
2013-04-02 11:30:00+00:00,1.009
2013-04-02 11:35:00+00:00,1.015
2013-04-02 11:40:00+00:00,0.986
2013-04-02 11:45:00+00:00,0.974
2013-04-02 11:50:00+00:00,1.146
2013-04-02 11:55:00+00:00,1.111
2013-04-02 12:00:00+00:00,1.106
2013-04-02 12:05:00+00:00,1.059
2013-04-02 12:10:00+00:00,1.063
2013-04-02 12:15:00+00:00,1.053
2013-04-02 12:20:00+00:00,1.042
2013-04-02 12:25:00+00:00,1.083
2013-04-02 12:30:00+00:00,1.131
2013-04-02 12:35:00+00:00,1.134
2013-04-02 12:40:00+00:00,1.117
2013-04-02 12:45:00+00:00,1.038
2013-04-02 12:50:00+00:00,1.046
2013-04-02 12:55:00+00:00,1.017
2013-04-02 13:00:00+00:00,1.028
2013-04-02 13:05:00+00:00,1.054
2013-04-02 13:10:00+00:00,1.062
2013-04-02 13:15:00+00:00,1.081
2013-04-02 13:20:00+00:00,1.04
2013-04-02 13:25:00+00:00,1.068
2013-04-02 13:30:00+00:00,1.078
2013-04-02 13:35:00+00:00,1.029
2013-04-02 13:40:00+00:00,1.026
2013-04-02 13:45:00+00:00,1.132
2013-04-02 13:50:00+00:00,1.095
2013-04-02 13:55:00+00:00,1.105
2013-04-02 14:00:00+00:00,1.014
2013-04-02 14:05:00+00:00,1.001
2013-04-02 14:10:00+00:00,1.08
2013-04-02 14:15:00+00:00,1.058
2013-04-02 14:20:00+00:00,0.938
2013-04-02 14:25:00+00:00,0.952
2013-04-02 14:30:00+00:00,0.955
2013-04-02 14:35:00+00:00,1.05
2013-04-02 14:40:00+00:00,1.035
2013-04-02 14:45:00+00:00,1.019
2013-04-02 14:50:00+00:00,1.089
2013-04-02 14:55:00+00:00,1.051
2013-04-02 15:00:00+00:00,1.055
2013-04-02 15:05:00+00:00,1.081
2013-04-02 15:10:00+00:00,1.101
2013-04-02 15:15:00+00:00,0.976
2013-04-02 15:20:00+00:00,0.954
2013-04-02 15:25:00+00:00,1.03
2013-04-02 15:30:00+00:00,1.041
2013-04-02 15:35:00+00:00,1.057
2013-04-02 15:40:00+00:00,1.039
2013-04-02 15:45:00+00:00,1.018
2013-04-02 15:50:00+00:00,1.0
2013-04-02 15:55:00+00:00,0.924
2013-04-02 16:00:00+00:00,1.025
2013-04-02 16:05:00+00:00,1.021
2013-04-02 16:10:00+00:00,1.104
2013-04-02 16:15:00+00:00,1.052
